,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,1.7788092787586774e-17,2.4862156278524587e-17,3.692516805875612e-16,4.756685358788135e-16,3.7414899068320234e-17,1.8208066383989605e-16,1.3878790370780762e-17,7.883109059430806e-20
Precision std,4.6195207329602116e-17,5.84011075692396e-17,2.8127432975996623e-16,2.533569351175754e-16,1.168801113731567e-16,1.8738753445700248e-16,5.732180829923061e-17,5.757318935739444e-19
Precision median,3.651420694998851e-19,1.0713717824124456e-18,3.6280047211158817e-16,4.283689569691529e-16,8.74184469943454e-19,1.1134250112080366e-16,1.377182649096468e-19,2.0467889041767673e-23
Best precision,7.822000257208271e-23,2.6201004873987695e-23,3.5572185668210724e-18,8.808175679007624e-17,1.4156411160420733e-23,5.928287008587046e-19,4.818513567147783e-24,1.6308129706538512e-28
Mean iterations per experiment,1806.15625,1906.65625,3004.359375,4368.375,1871.53125,2522.5,2020.484375,3280.078125
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.010817272404705204,0.012108012701268982,0.012632467631727212,0.01261004488952639,0.012287510337807912,0.012557908292141961,0.011878591902545707,0.011943982772890275
Mean experiment CPU time,19.54931640625,23.09326171875,37.968994140625,55.110107421875,22.999267578125,31.690673828125,24.012939453125,39.193359375
Experiments,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
No. clans,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Particles per clan,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
