,Sphere (f1),Rastrigin (f5),Alpine N.1 (f8)
Precision mean,1.9431912774772886e-14,2.5538311803346128,8.08506321871977
Precision std,1.4802637500110525e-14,0.6214979811922674,4.389946089236136
Precision median,1.6401474201444333e-14,2.437140978609635,7.617443922353472
Best precision,1.2313890005518079e-15,0.9949586309308605,0.14165706885673263
Mean iterations per experiment,2593.099609375,5000.0,4505.10546875
Maximum iterations per experiment,5000.0,5000.0,5000.0
Mean iteration CPU time,0.004072818138540756,0.00572269287109375,0.004991548336020701
Mean experiment CPU time,10.571380615234375,28.634033203125,22.508453369140625
Experiments,512.0,512.0,512.0
No. clans,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0
