,Sphere (f1),Quadric (f2),Schwefel P2.22 (f3),Rosenbrock (f4),Rastrigin (f5),Ackely (f6),Salomon (f7),Alpine N.1 (f8)
Precision mean,4.559852458509261e-15,2.776768457215972e-06,2.0597333541775783e-07,0.09343762273953472,2.5380272500133474,0.01615009362452139,1.9330137384504424,7.214977994276246
Precision std,3.2382000670687653e-15,1.0557995676200997e-05,2.052928059171705e-06,0.4213284275009345,0.5938496974764228,0.12203518871793943,0.5170398143905587,5.408224526572367
Precision median,3.996049751895354e-15,2.3898613273593727e-07,3.872863627275609e-12,8.953623594107635e-15,2.534775143797683,1.2918021027578807e-14,1.9974668634291315,6.187073439044468
Best precision,3.360395279564951e-17,3.6171187542977664e-10,5.531694821806628e-15,0.0,0.9949586252258235,3.1067583781013498e-15,0.9974668629123719,0.1416581255137717
Mean iterations per experiment,2601.712890625,4999.66015625,2974.95703125,3297.65625,5000.0,3109.5234375,5000.0,4387.3515625
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.004251304135826109,0.027931070745888388,0.005765921306704665,0.011056484295588559,0.00584993896484375,0.008000612436314683,0.004825140380859376,0.00508863065393003
Mean experiment CPU time,11.073638916015625,139.67245483398438,17.169189453125,36.475799560546875,29.271881103515625,24.895111083984375,24.146636962890625,22.343048095703125
Experiments,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
No. clans,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
